KOD_BODU	Subtyp_final	Total_Rich	Specialist_Rich	Generalist_Rich	Canopy_Rich	Cavity_Rich	Ground_Shrub_Rich	Threatened_Rich	Total_Abun	Specialist_Abun	Generalist_Abun	Canopy_Abun	Cavity_Abun	Ground_Shrub_Abun	Threatened_Abun	Rarity_index	Elev	StandDeadtree3	LayingDeadtree3	Tezba_vyklizeni3	Tezba_ponechani3	Windfall3	DamageTotal3	DisturbTotal3	BiologLegac3	StandDeadtree1	LayingDeadtree1	Tezba_vyklizeni1	Tezba_ponechani1	Windfall1	DamageTotal1	DisturbTotal1	BiologLegac1	conif_ha1	deadw_ha1	decid_ha1	Total_LT_ha1	conifHAv1	deadwHAv1	decidHAv1	snagHAv1	conifHSD1	deadwHSD1	decidHSD1	snagHSD1	conifCBAv1	deadwCBAv1	decidCBAv1	snagCBAv1	conifCBSD1	deadwCBSD1	decidCBSD1	snagCBSD1	conifVol1	deadwVol1	decidVol1	snagVol1	conifVolAv1	deadwVolAv1	decidVolAv1	snagVolAv1	conifVolHA1	deadwVolHA1	decidVolHA1	snagVolHA1	conif_ha3	deadw_ha3	decid_ha3	Total_LT_ha3	conifHAv3	deadwHAv3	decidHAv3	snagHAv3	conifHSD3	deadwHSD3	decidHSD3	snagHSD3	conifCBAv3	deadwCBAv3	decidCBAv3	snagCBAv3	conifCBSD3	deadwCBSD3	decidCBSD3	snagCBSD3	conifVol3	deadwVol3	decidVol3	snagVol3	conifVolAv3	deadwVolAv3	decidVolAv3	snagVolAv3	conifVolHA3	deadwVolHA3	decidVolHA3	snagVolHA3	LT_VolHA1	NumLT25	NumLT30	Elev_cat2	Underg_%	Underg_Decid	Underg_H	Struct_Can	Uproot_N	DeadTr_Decay	Cover_deadw	Can_cover	Can_damage
73	ZPZ	7	3	4	1	3	3	0	10	4	6	2	4	4	0	0.310509554	1099.97998	3.133107911	0	13.99497482	11.52024572	0	28.64832845	3.133107911	14.65335363	4.980566493	0	4.940559782	0	0	9.921126275	4.980566493	4.980566493	407.650182	16.25501116	2.868531382	410.5187133	19.86541663	19.96310946	18.7459423	0	4.326842081	4.777443419	4.959779148	0	1.694362279	2.265917011	3.003838433	0	2.112065711	2.201707444	2.567429097	0	266906.8399	10537.14455	1613.321999	0	208.6840031	206.6106775	179.2579999	0	85070.07183	3358.458869	514.2071982	0	316.2214939	10.86270545	4.989060159	321.210554	18.35550515	19.9110282	15.67088558	7.001185011	5.713612303	5.381874573	7.286047525	4.167674432	1.497918276	1.822758678	1.831772392	2.047475179	1.916763062	2.209357425	2.037131719	1.064119986	1830261.605	62965.49318	20353.51302	359.625288	204.7959724	205.0993263	144.3511562	14.984387	64760.88832	2227.93357	5.107635476	0.53019864	85584.27903	150	1	D1065_1165	0	0	0	1	1	4	3	90	1
74	MD	13	3	10	4	1	7	0	17	5	12	6	1	9	0	0.372611465	1025.781006	10.98728769	8.797599428	17.47390571	13.30535927	0.224199723	50.78835183	20.00908685	33.31444612	35.38046429	7.621061361	28.47909516	14.32577511	0	85.80639592	43.00152565	57.32730077	172.4306086	90.19937568	21.0358968	193.4665054	10.5150262	18.29045951	15.50489906	6.380187379	5.512042117	5.951603062	3.777334644	4.751553403	1.393582892	0.932803959	0.756673177	2.025	0.79335692	1.097347441	0.670315954	0.558457698	57698.69911	40226.66227	13235.71742	363.9897152	106.6519392	142.1436829	200.541173	18.19948576	18390.05879	12821.27146	4218.56342	116.0128801	143.3027918	41.04475024	10.11965394	153.4224457	13.33505937	15.9596602	14.35911152	6.963268983	6.876420215	7.512764585	6.257267079	3.797196597	1.288779056	1.126968331	1.165975931	1.840743147	1.225271463	1.233653271	1.129723135	0.787668432	645955.0003	160666.8283	50421.57901	2679.70041	159.4950618	138.5058864	176.2992273	19.14071722	22856.08764	5684.939516	6.238067028	0.677263757	22608.62221	7	0	C965_1065	20	0	300	7	2	5	15	50	5
75	MD	11	2	9	4	2	5	0	12	2	10	4	2	6	0	0.132165605	1033.18396	30.98483435	0.245453185	6.744150311	1.335552573	0.643991507	39.95398193	31.87427905	33.20983162	52.7428393	0	8.889036354	0.079289433	0	61.71116509	52.7428393	52.82212874	242.5502646	59.92043331	0.956177127	243.5064418	16.57456419	24.47325098	10.56103587	6.780853807	7.408702744	7.353802247	4.708057352	2.439875959	1.151420443	1.793708314	1.697184245	2.375	1.263587623	2.215594727	0.829653429	0.216506351	147677.3628	64582.97694	137.8768112	55.9590385	194.0569813	343.5264731	45.95893708	13.98975963	47068.57216	20584.25512	43.94488444	17.83558423	248.2853556	40.47861576	3.502957133	251.7883127	14.91717604	22.82033972	15.12258098	7.436097236	9.191355907	8.314188039	7.562129161	3.935552429	1.554605683	1.871032233	1.394937535	1.849415706	1.694163841	2.562085501	1.977217932	0.840563449	1230627.636	279825.9855	15173.1026	1903.950169	175.3780299	244.6031342	153.2636626	18.30721317	43543.79652	9901.196283	5.422990305	0.647771545	47112.51705	124	19	C965_1065	25	0	300	8	1	4	35	20	4
76	ZPS	10	2	8	3	1	6	0	11	2	9	3	1	7	0	0.149681529	1006.828003	12.84301037	0	18.88400636	5.719690494	0.131630926	37.57833815	12.97464129	18.69433179	9.449909711	0	13.20823029	9.794697435	0	32.45283744	9.449909711	19.24460715	232.0323162	12.74902836	2.549805673	234.5821219	17.36735203	20.92312969	13.96984759	6.380281339	9.632762948	10.85828079	9.459997334	2.813158006	1.555822855	2.756925964	1.722625732	1.742980957	1.856913403	3.720174154	1.40799105	0.673252699	134083.291	5572.549035	907.0876487	245.695621	184.1803448	139.3137259	113.3859561	22.33596555	42735.79202	1776.114643	289.1121541	78.30951103	234.9811951	17.0901848	3.67987416	238.6610693	16.29521289	20.74374632	14.18488837	6.05215647	8.20399791	8.893717677	7.510586311	3.649075722	1.413919594	1.465335064	1.614494324	1.931432846	1.772124667	2.218878125	2.102002697	0.724543975	1207554.488	88308.22383	14487.18414	1418.772234	181.8332312	182.8327616	139.2998475	15.09332163	42727.38998	3124.645682	4.928902974	0.534053118	43024.90417	202	64	C965_1065	30	0	350	6	1	4	0	60	3
79	VD	8	3	5	2	2	4	0	11	4	7	3	2	6	0	0.297770701	1036.074951	42.84937354	19.05960453	2.441547149	3.580909996	0.789485415	68.72092063	62.69846348	66.27937348	86.06920788	0.068090557	0	5.517789461	0	91.6550879	86.13729844	91.6550879	117.6097867	194.7414083	17.529914	135.1397007	17.7620427	21.39421771	15.08866781	7.551384939	8.055565323	7.376294838	6.99445318	3.456528384	1.57859244	1.697783674	1.177068554	1.983132755	2.06066929	2.263001785	1.018307291	0.722005994	61832.37372	122217.8277	6803.022431	243.768055	167.5674085	200.0291779	123.6913169	14.33929735	19707.56716	38953.96381	2168.298149	77.69514619	194.5733462	93.83679107	7.819732589	202.3930788	15.09394133	20.0789713	15.9941551	8.090933689	8.06390649	8.420550253	7.770070996	3.976291072	1.483669439	1.457802243	1.24542651	1.714758094	1.846159089	1.985298435	1.209047684	0.823159006	869132.9857	453003.1614	29480.90539	6942.830876	158.0529161	170.8156717	133.397762	22.76337992	30752.88476	16028.7945	4.720067088	0.8054459	21875.86531	126	10	C965_1065	15	0	350	9	1	4	45	25	5
80	ZPS	8	2	6	4	1	3	0	9	2	7	4	1	4	0	0.160828025	1036.463989	25.8417287	32.46413849	9.765644904	4.657923331	0.302415894	73.03185132	58.60828308	63.26620641	34.69323909	16.75262811	3.777385712	0	0	55.22325292	51.4458672	51.4458672	213.5462251	89.24319855	7.011965601	220.5581907	17.24229488	17.30796132	17.35632335	9.63875934	8.521409712	7.493159267	7.895065258	6.062765866	1.856855252	0.837681795	0.997597434	1.236057826	2.594214296	0.682225283	0.812491309	0.753859041	131078.2829	39200.15063	2840.554722	364.893178	195.6392282	140.000538	129.1161237	26.06379843	41778.01866	12494.09581	905.357818	116.3008369	188.9827681	85.16785675	8.032033021	197.0148012	13.31536184	16.76531158	15.20965834	8.81105745	7.49372162	7.95101408	7.31162056	4.355358181	1.477588728	1.14332845	1.22491482	1.621370484	1.665391213	1.278299946	1.209381859	0.876394608	766138.9581	327244.4412	23247.55415	9082.795693	143.4448527	135.9553142	102.4121328	22.87857857	27108.60533	11579.02272	3.623690012	0.80952202	42683.37648	156	38	C965_1065	10	0	200	3	2	3	5	90	3
81	VD	8	3	5	3	1	4	0	12	5	7	4	2	6	0	0.380573248	1043.779053	27.80983674	32.5618515	9.518079735	3.601018019	0.576413818	74.06719982	60.94810206	64.54912008	29.53969171	36.3223137	8.067297578	8.766847416	0	82.69615041	65.86200542	74.62885283	133.2273464	117.9285124	6.374514182	139.6018606	14.77251118	16.08365998	13.74488543	9.637194252	6.744768737	6.604924981	6.10202611	4.886742559	0.897672662	0.888104412	1.365496826	1.583966194	0.772319149	0.772050628	1.481059322	0.895550673	64776.31884	36296.47833	1143.200054	692.0275285	154.9672699	98.09859007	57.16000272	14.72398997	20645.87816	11568.62079	364.367248	220.5669647	160.7114272	80.35571362	7.536665346	168.2480926	13.79645043	15.73850228	14.899965	9.399268727	7.584668108	7.356990643	7.292138833	4.763069107	1.174447749	1.008605016	1.228441122	1.503129407	1.076237906	0.929084377	1.345702774	0.952239599	746218.2863	277607.9736	24178.1615	7441.761948	164.2928856	122.2404111	113.5124953	21.32310014	26403.74413	9822.715466	4.016458637	0.754483896	21010.2454	36	7	C965_1065	55	0	150	8	1	5	40	15	5
82	ZPS	9	4	5	4	2	3	0	11	5	6	5	3	3	0	0.420382166	1079.08606	28.63077712	26.40756187	16.75041853	1.514935825	3.413981265	76.71767462	58.45232026	59.96725609	10.13796766	9.468465488	38.90953482	1.508642975	1.835887569	61.86049851	21.44232071	22.95096369	193.1477797	26.45423386	3.824708509	196.9724882	13.62007208	17.67287369	11.57090257	9.708287	7.237360607	7.384964869	3.315572226	5.450740725	1.214448532	1.041708337	1.046112061	1.285714286	1.111202329	1.239838225	0.773196022	0.795394909	128363.1794	13462.39953	658.5196442	146.862292	211.8204281	162.1975847	54.87663702	20.98032743	40912.64539	4290.812837	209.8871406	46.80878816	149.4241209	84.70787248	8.456633886	157.8807548	13.67195185	13.93522249	14.13515696	8.553581748	7.682014255	6.885882874	6.69394865	4.395601471	1.287438066	1.089688384	1.239768567	1.689887906	1.24777171	0.929147135	1.237223998	0.914530965	747235.5124	215922.294	25699.03942	7303.234758	176.9442369	90.19310528	107.5273616	22.54084802	26439.73705	7640.066061	3.804684225	0.797571963	41122.53253	68	5	D1065_1165	20	0	250	5	1	3	0	35	2
83	VD	9	3	6	2	2	5	0	9	3	6	2	2	5	0	0.208598726	1094.003052	17.80960611	9.886610975	18.89080187	33.63563888	0.953635614	81.17629345	28.6498527	62.28549158	55.76839471	4.096103455	9.04133776	10.67381881	3.7979004	83.37755513	63.66239856	74.33621737	135.4584264	131.6337179	26.13550815	161.5939345	20.95234038	22.77707573	16.29776685	8.21217487	7.795638975	5.156551209	7.169910161	4.252774416	3.868095133	2.442141923	2.302920458	2.355679599	3.824694807	3.005758714	2.931815533	1.405037227	67822.13505	62649.63801	6266.630166	386.998902	159.5814942	151.6940388	76.4223191	17.59085918	21616.65809	19968.0503	1997.336144	123.3464995	121.0820132	43.4154384	16.73635075	137.818364	16.5726736	17.86912345	14.0411545	7.913973687	8.198939708	7.185483403	7.356953958	3.221550588	2.282856821	1.713556988	1.856784683	1.813748468	2.706029198	2.368533681	2.152040367	0.906939207	520763.1929	132629.7649	43752.48995	5691.087721	152.1809447	108.0927179	92.49997875	22.31799106	18426.37516	4692.892736	3.272964246	0.789686525	23613.99423	190	34	D1065_1165	15	0	200	6	1	4	50	20	5
84	ZPS	12	5	7	5	3	4	0	15	8	7	8	3	4	0	0.718152866	1092.541016	12.28985358	30.47594231	16.60633263	32.05747017	0.075912791	91.50551148	42.84170868	74.89917885	16.82716066	9.491704033	21.08160241	21.12673684	0	68.52720395	26.3188647	47.44560154	166.6935459	19.76099397	13.06775407	179.7612999	15.80669109	11.93648257	18.02957083	8.850493816	7.572576612	6.463930945	6.13098512	4.390381529	1.272319265	1.166019563	0.836390053	1.695493501	1.400115973	0.833520125	0.806070792	0.897876813	95316.71904	4256.357834	7613.375263	710.0582175	182.2499408	68.65093281	185.6920796	24.48476612	30379.88887	1356.610669	2426.57843	226.3138089	114.5360832	52.82742423	15.49793156	130.0340148	12.20077921	13.46630103	13.74786164	8.223423919	6.850210341	6.240239226	6.989830457	3.566666387	1.427051166	1.184517004	1.41353743	1.737352482	1.21299198	1.294534121	1.333512356	0.868031659	378955.3775	114320.4085	47516.82342	9042.768188	117.0699343	76.57093672	108.4858982	23.92266716	13408.73174	4045.045358	3.838600515	0.84646543	32806.46729	73	1	D1065_1165	15	0	300	6	2	6	5	35	2
