"predictor","F.value.x","p.value.x","F.value.y","p.value.y","F.value.x.x","p.value.x.x","F.value.y.y","p.value.y.y","F.value.x.x.x","p.value.x.x.x","F.value.y.y.y","p.value.y.y.y","F.value","p.value"
"poly(Complexity, 2)",9.0332,2e-04,3.0237,0.052,3.7051,0.0272,1.9785,0.1423,NA,NA,10.7821,0,NA,NA
"poly(Elev, 2)",12.4995,0,3.2416,0.0422,12.49,0,NA,NA,3.7733,0.0254,4.6699,0.011,4.0334,0.0199
"poly(LiveTrees, 2)",NA,NA,16.0816,0,NA,NA,4.1422,0.018,NA,NA,NA,NA,11.3339,0
"poly(Understory, 2)",NA,NA,NA,NA,2.2067,0.114,12.8308,0,NA,NA,5.8663,0.0036,NA,NA
"poly(LiveTrees, 2)",3.3337,0.0386,11.4681,0,NA,NA,1.9406,0.1476,NA,NA,NA,NA,17.3289,0
"poly(Complexity, 2)",8.235,4e-04,2.6072,0.0775,4.4355,0.0136,2.5207,0.0842,NA,NA,5.7548,0.004,4.2687,0.0159
"poly(Elev, 2)",5.8337,0.0037,2.2264,0.112,11.0922,0,NA,NA,NA,NA,4.57,0.012,NA,NA
"poly(Understory, 2)",NA,NA,2.8612,0.0608,2.1955,0.1153,12.1191,0,NA,NA,3.5235,0.0323,NA,NA
