"metric","Class: SSD","Class: LSD","Class: ELT","Class: NDF","Class: SSD.1","Class: LSD.1","Class: ELT.1","Class: NDF.1"
"Sensitivity",0.892,0.794,0.318,0.917,0.811,0.824,0.5,0.875
"Specificity",0.856,0.963,0.975,0.914,0.885,0.916,0.975,0.935
"Prevalence",0.262,0.241,0.156,0.34,0.262,0.241,0.156,0.34
"Detection Rate",0.234,0.191,0.05,0.312,0.213,0.199,0.078,0.298
"Balanced Accuracy",0.874,0.878,0.646,0.915,0.848,0.87,0.737,0.905
